Name,Price
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Blazer Mid '77 Vintage,$84.97,Style: BQ6806-124,"['7', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14', '15']"
Nike Air Force 1 Mid '07,$96.97,Style: DZ2672-101,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']"
Nike Air Force 1 '07 LV8,$103.97,Style: DO9801-300,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14', '15']"
Nike Dunk High Retro,$99.97,Style: DV0829-300,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11', '11.5', '12', '12.5', '13', '14', '15']"
Nike Air Max 97 Premium,$111.97,Style: DQ9011-100,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']"
Nike Air Force 1 '07 LV8,$103.97,Style: FB2048-800,"['7', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']"
